,Topic_Number,LDA_Equation
83,83,"[('black', 0.05517241379310345), ('culture', 0.01793103448275862), ('boston', 0.013793103448275862), ('wickedness', 0.012413793103448275), ('african', 0.011034482758620689), ('ocean', 0.009655172413793104), ('durag', 0.008275862068965517), ('thnx', 0.008275862068965517), ('starbuck', 0.008275862068965517), ('sierra_leone', 0.008275862068965517)]"
84,84,"[('bc', 0.022267206477732792), ('roommate', 0.016869095816464237), ('ha_ha', 0.01349527665317139), ('fuckin', 0.01282051282051282), ('abt', 0.010121457489878543), ('witch', 0.009446693657219974), ('wanda', 0.008771929824561403), ('emo', 0.007422402159244264), ('rey', 0.006747638326585695), ('ohio', 0.006747638326585695)]"
85,85,"[('entered_prize', 0.0665049079077975), ('giveaway', 0.06110069482739605), ('exclusive', 0.026249034961949927), ('pop', 0.02591816477335392), ('run', 0.021727142384471158), ('trip', 0.015220028675416344), ('sweepstake', 0.011249586412264255), ('mattress', 0.010367265909341568), ('tshirt', 0.009595235469284218), ('kit', 0.008933495092092203)]"
86,86,"[('watch', 0.10377358490566038), ('others_checkedin', 0.09905660377358491), ('sticker', 0.08608490566037735), ('unlocked', 0.0660377358490566), ('walking_dead', 0.02122641509433962), ('limited_sticker', 0.02122641509433962), ('todays_sticker', 0.015330188679245283), ('breaking_dawn', 0.014150943396226415), ('huntington', 0.012971698113207548), ('island', 0.01179245283018868)]"
87,87,"[('retweet', 0.05714285714285714), ('share', 0.04322344322344322), ('finalist', 0.02600732600732601), ('resorts_photo', 0.02490842490842491), ('friend_william', 0.02490842490842491), ('ocean_reef', 0.02490842490842491), ('rally_vote', 0.023443223443223443), ('product_gift', 0.02161172161172161), ('https', 0.019413919413919414), ('ultracruz_product', 0.01904761904761905)]"
88,88,"[('pirate', 0.16863406408094436), ('burning_sea', 0.15682967959527824), ('yesterday_played', 0.13406408094435077), ('yesterday_play', 0.0581787521079258), ('war', 0.03035413153456998), ('work', 0.01770657672849916), ('dead', 0.01517706576728499), ('gear', 0.01517706576728499), ('home', 0.01433389544688027), ('play', 0.013490725126475547)]"
89,89,"[('trump', 0.042322241105202565), ('president', 0.020448440326736473), ('obama', 0.01617235897154761), ('man', 0.01401604444200793), ('america', 0.013851579774500668), ('woman', 0.011092228130767684), ('support', 0.010288178645176617), ('country', 0.009813058494600077), ('white', 0.009009009009009009), ('gun', 0.008351150338979953)]"
90,90,"[('art', 0.017196904557179708), ('halloween', 0.013757523645743766), ('fuckin', 0.012467755803955288), ('clown', 0.01117798796216681), ('tumblr', 0.01117798796216681), ('fella', 0.010748065348237317), ('draw', 0.010748065348237317), ('kentucky', 0.009458297506448839), ('nintendo', 0.008598452278589854), ('lil', 0.007738607050730868)]"
91,91,"[('week', 0.04186046511627907), ('unit', 0.04011627906976744), ('card', 0.034011627906976746), ('awesome', 0.020930232558139535), ('deck', 0.020784883720930233), ('dragon', 0.0188953488372093), ('mega_man', 0.017732558139534883), ('megaman', 0.011046511627906977), ('cardfight_vanguard', 0.010755813953488373), ('yugioh', 0.010174418604651164)]"
92,92,"[('find', 0.011353093412764295), ('cat', 0.01022999169881342), ('food', 0.009595195077884663), ('dog', 0.00918013574881586), ('hot', 0.008520923873235997), ('eat', 0.008496508618584891), ('baby', 0.007153669612774061), ('set', 0.007056008594169637), ('cute', 0.006763025538356365), ('color', 0.006494457737194199)]"
93,93,"[('check', 0.028237410071942446), ('join', 0.02410071942446043), ('online', 0.019964028776978417), ('earn', 0.017805755395683454), ('business', 0.0170863309352518), ('pay', 0.012410071942446043), ('sign', 0.012050359712230216), ('marketing', 0.009712230215827337), ('plan', 0.009172661870503597), ('signup', 0.009172661870503597)]"
94,94,"[('sweet', 0.02553191489361702), ('sarah', 0.01872340425531915), ('snowflake', 0.01872340425531915), ('racist', 0.017872340425531916), ('bot', 0.01446808510638298), ('joe', 0.013617021276595745), ('sarah_palin', 0.013617021276595745), ('hot', 0.013617021276595745), ('article', 0.01276595744680851), ('sir', 0.01276595744680851)]"
95,95,"[('gummy', 0.008333333333333333), ('foraging', 0.008333333333333333), ('lockem', 0.008333333333333333), ('internshi', 0.008333333333333333), ('agoi', 0.008333333333333333), ('overdramatic', 0.008333333333333333), ('enemys', 0.008333333333333333), ('stomachbowel', 0.008333333333333333), ('poteryaevskoe', 0.008333333333333333), ('bandwagon', 0.008333333333333333)]"
96,96,"[('letdown', 0.01818181818181818), ('tedtalk', 0.01818181818181818), ('wrecking', 0.00909090909090909), ('chor', 0.00909090909090909), ('wellthought', 0.00909090909090909), ('pallet', 0.00909090909090909), ('weddingnopeim', 0.00909090909090909), ('chromosom', 0.00909090909090909), ('sarm', 0.00909090909090909), ('sandersgabbard', 0.00909090909090909)]"
97,97,"[('watch', 0.10534469403563129), ('doctor', 0.050090369222824685), ('watched_episode', 0.03640588690937258), ('ive_jazz', 0.031758326878388844), ('series', 0.029176349083397883), ('facebook', 0.018073844564936742), ('post', 0.016266460108443067), ('season', 0.015750064549444876), ('bacon', 0.01471727343144849), ('video', 0.01471727343144849)]"
98,98,"[('invest', 0.020618556701030927), ('heheh', 0.020618556701030927), ('xboxone', 0.020618556701030927), ('grabby', 0.010309278350515464), ('differnt', 0.010309278350515464), ('page', 0.010309278350515464), ('wiltedit', 0.010309278350515464), ('prewedd', 0.010309278350515464), ('ladle', 0.010309278350515464), ('canceri', 0.010309278350515464)]"
99,99,"[('hahahaha_hahahaha', 0.06787330316742081), ('turnip', 0.04072398190045249), ('mac', 0.03167420814479638), ('lololololol', 0.01809954751131222), ('lolololol', 0.013574660633484163), ('digits', 0.013574660633484163), ('knowa', 0.00904977375565611), ('kayne', 0.00904977375565611), ('lunacy', 0.00904977375565611), ('ticktockheart', 0.00904977375565611)]"
100,100,"[('stat', 0.022492970946579195), ('medicate', 0.01499531396438613), ('wally', 0.011246485473289597), ('belief', 0.011246485473289597), ('healing', 0.011246485473289597), ('william', 0.010309278350515464), ('decade', 0.00937207122774133), ('followers_unfollower', 0.008434864104967198), ('integrity', 0.008434864104967198), ('addie', 0.007497656982193065)]"
101,101,"[('alternet', 0.028117359413202935), ('animal', 0.02689486552567237), ('adirondack', 0.02506112469437653), ('recall', 0.01650366748166259), ('nbcwktv_new', 0.014669926650366748), ('mini_microsoft', 0.013447432762836185), ('ipad_ipad', 0.013447432762836185), ('surface_kindle', 0.013447432762836185), ('fire_hd', 0.013447432762836185), ('channel_utica', 0.012224938875305624)]"
102,102,"[('louisville', 0.03372093023255814), ('clarksville', 0.026744186046511628), ('ambulance', 0.022093023255813953), ('dinner', 0.022093023255813953), ('albany', 0.020930232558139535), ('buffalo_wild', 0.020930232558139535), ('dispatch', 0.01627906976744186), ('indiana', 0.01627906976744186), ('shift', 0.01627906976744186), ('clarksville_fire', 0.015116279069767442)]"
103,103,"[('fert', 0.015625), ('heartbeat', 0.015625), ('ngadain', 0.0078125), ('haand', 0.0078125), ('weatherfeel', 0.0078125), ('weatheryaycould', 0.0078125), ('meowth', 0.0078125), ('zombi', 0.0078125), ('yesterdaylast', 0.0078125), ('broly', 0.0078125)]"
104,104,"[('eagle', 0.029874213836477988), ('dude', 0.024764150943396228), ('phillie', 0.02358490566037736), ('sixer', 0.020440251572327043), ('philly', 0.01690251572327044), ('cowboy', 0.012578616352201259), ('trade', 0.009040880503144654), ('flyer', 0.008647798742138365), ('bank', 0.008254716981132075), ('dak', 0.007861635220125786)]"
105,105,"[('photo', 0.14918032786885246), ('black', 0.032459016393442626), ('video', 0.026557377049180327), ('play', 0.025245901639344263), ('perform', 0.014754098360655738), ('photoset', 0.012459016393442624), ('woman', 0.012459016393442624), ('white', 0.012131147540983607), ('playlist', 0.010491803278688525), ('add', 0.009508196721311476)]"
106,106,"[('concord', 0.028391167192429023), ('hip_hop', 0.028391167192429023), ('mf_doom', 0.028391167192429023), ('lupe', 0.022082018927444796), ('ridin', 0.015772870662460567), ('gtgtgtgtgtgt', 0.015772870662460567), ('scumbag', 0.012618296529968454), ('tippybutter', 0.012618296529968454), ('gtgtgtgtgt', 0.012618296529968454), ('tampa', 0.00946372239747634)]"
107,107,"[('pee', 0.02127659574468085), ('horrific', 0.010638297872340425), ('hey', 0.010638297872340425), ('ehit', 0.010638297872340425), ('scoopsgreat', 0.010638297872340425), ('horseplace', 0.010638297872340425), ('wallart', 0.010638297872340425), ('psfk', 0.010638297872340425), ('multiply', 0.010638297872340425), ('livetweet', 0.010638297872340425)]"
108,108,"[('day', 0.03374609466191817), ('make', 0.02404049133995937), ('time', 0.021571870638314783), ('love', 0.02098575948581164), ('today', 0.01984333944279704), ('good', 0.018298588862894694), ('great', 0.015899506772564038), ('work', 0.013813348433146076), ('start', 0.012959016922717767), ('happy', 0.012487147774516085)]"
109,109,"[('love', 0.02608695652173913), ('lovely', 0.015217391304347827), ('fan', 0.0125), ('brilliant', 0.011956521739130435), ('rover', 0.011956521739130435), ('bloody', 0.010597826086956521), ('absolutely', 0.010054347826086956), ('club', 0.009782608695652175), ('ahh', 0.009510869565217392), ('boy', 0.008152173913043478)]"
110,110,"[('biologist', 0.034482758620689655), ('pinner', 0.022988505747126436), ('naaaah', 0.011494252873563218), ('estimation', 0.011494252873563218), ('soviet', 0.011494252873563218), ('guestsenter', 0.011494252873563218), ('haf', 0.011494252873563218), ('theee', 0.011494252873563218), ('watch', 0.011494252873563218), ('chronological_order', 0.011494252873563218)]"
111,111,"[('brandan', 0.03543307086614173), ('evan_peter', 0.01968503937007874), ('kaine', 0.015748031496062992), ('cnbc', 0.015748031496062992), ('bellwood', 0.011811023622047244), ('lange', 0.011811023622047244), ('nail_polish', 0.011811023622047244), ('psua', 0.011811023622047244), ('gimp', 0.011811023622047244), ('clopen', 0.011811023622047244)]"
112,112,"[('stream', 0.1265884061478882), ('lol', 0.036064383395861065), ('bit', 0.031344547984993344), ('streaming', 0.022994069950381217), ('beat', 0.018516277381096454), ('tonight', 0.016216870386058332), ('backlog', 0.015127677598935012), ('guy', 0.01367542054943725), ('yea', 0.01270724918310541), ('tomorrow', 0.010286820767275807)]"
113,113,"[('internet', 0.02564102564102564), ('assume', 0.017094017094017096), ('joke', 0.015466015466015465), ('fair', 0.013024013024013023), ('charlie', 0.011803011803011803), ('panel', 0.008547008547008548), ('technically', 0.008547008547008548), ('literally', 0.00814000814000814), ('knoxville', 0.007733007733007733), ('marketing', 0.007733007733007733)]"
114,114,"[('dimitrijevic', 0.019801980198019802), ('desert', 0.019801980198019802), ('escerronhtc', 0.009900990099009901), ('betterinform', 0.009900990099009901), ('kruz', 0.009900990099009901), ('audiobookso', 0.009900990099009901), ('rocc', 0.009900990099009901), ('ritz', 0.009900990099009901), ('thousa', 0.009900990099009901), ('escerronand', 0.009900990099009901)]"
115,115,"[('xml', 0.01834862385321101), ('amazon_prime', 0.01834862385321101), ('hussy', 0.009174311926605505), ('itinstead', 0.009174311926605505), ('implicatedmsu', 0.009174311926605505), ('thingsand', 0.009174311926605505), ('hafta', 0.009174311926605505), ('wowa', 0.009174311926605505), ('excop', 0.009174311926605505), ('howardsell', 0.009174311926605505)]"
116,116,"[('jaehyun', 0.04909038406006353), ('jaemin', 0.029454230436038117), ('mark', 0.026855327750505344), ('nct', 0.02512272596015016), ('taeyong', 0.015015882183078255), ('sicheng', 0.012705746462604677), ('fuck', 0.012705746462604677), ('winwin', 0.01241697949754548), ('boy', 0.01155067860236789), ('yukhei', 0.010973144672249495)]"
117,117,"[('socom', 0.03225806451612903), ('covfefeflavor', 0.016129032258064516), ('santana', 0.016129032258064516), ('rusia', 0.016129032258064516), ('viejo', 0.016129032258064516), ('russian_meddling', 0.016129032258064516), ('scranton', 0.016129032258064516), ('woudl', 0.016129032258064516), ('potuss', 0.016129032258064516), ('eyessome', 0.016129032258064516)]"
118,118,"[('offshore', 0.020202020202020204), ('swinefluzombie', 0.010101010101010102), ('jill_stein', 0.010101010101010102), ('cheated', 0.010101010101010102), ('bracey', 0.010101010101010102), ('newtoour', 0.010101010101010102), ('cakap', 0.010101010101010102), ('commentate', 0.010101010101010102), ('pare', 0.010101010101010102), ('timewithout', 0.010101010101010102)]"
119,119,"[('poopyflavor', 0.011904761904761904), ('multiply', 0.011904761904761904), ('leghorn', 0.011904761904761904), ('lanepauline', 0.011904761904761904), ('tag', 0.011904761904761904), ('respecting', 0.011904761904761904), ('selfplz', 0.011904761904761904), ('bigboob', 0.011904761904761904), ('baybeeshow', 0.011904761904761904), ('brownsville', 0.011904761904761904)]"
120,120,"[('blut', 0.015748031496062992), ('hotel_room', 0.007874015748031496), ('ith', 0.007874015748031496), ('themselve', 0.007874015748031496), ('weight_los', 0.007874015748031496), ('presence', 0.007874015748031496), ('calender', 0.007874015748031496), ('tracewill', 0.007874015748031496), ('unmotivated', 0.007874015748031496), ('poweshiek', 0.007874015748031496)]"
121,121,"[('woman', 0.01439275135040948), ('report', 0.010001742463843876), ('fire', 0.009496427949120055), ('kill', 0.009252483010977522), ('police', 0.008450949642794912), ('family', 0.008241853981529884), ('home', 0.007631991636173549), ('news', 0.007213800313643492), ('city', 0.007213800313643492), ('student', 0.00676075971423593)]"
122,122,"[('chris', 0.03757380568974772), ('indian', 0.01825013419216318), ('literally', 0.013955984970477724), ('entire', 0.013419216317767043), ('baseball', 0.011808910359634998), ('goddamn', 0.011808910359634998), ('frank', 0.011808910359634998), ('couch', 0.011272141706924315), ('incredible', 0.011272141706924315), ('every_single', 0.010735373054213635)]"
123,123,"[('post', 0.05603448275862069), ('watch', 0.04399524375743163), ('movie', 0.03180737217598097), ('star', 0.028388822829964327), ('book', 0.02660523186682521), ('connect', 0.02051129607609988), ('recent_follow', 0.0200653983353151), ('happy', 0.018876337693222354), ('great', 0.016349583828775268), ('others_checkedin', 0.01293103448275862)]"
124,124,"[('endearment', 0.013605442176870748), ('stockpile', 0.013605442176870748), ('subathon', 0.013605442176870748), ('terson', 0.006802721088435374), ('toread', 0.006802721088435374), ('zwijsen', 0.006802721088435374), ('oneupp', 0.006802721088435374), ('da', 0.006802721088435374), ('yew', 0.006802721088435374), ('eichner', 0.006802721088435374)]"
125,125,"[('nonfunctional', 0.008), ('looknow', 0.008), ('eastern', 0.008), ('dayhope', 0.008), ('thunderbolt', 0.008), ('fuggaz', 0.008), ('phillip', 0.008), ('miyah', 0.008), ('sailor', 0.008), ('happen', 0.008)]"
126,126,"[('youtube', 0.13168724279835392), ('presidential_debate', 0.04938271604938271), ('tampa', 0.04526748971193416), ('blackjack', 0.0411522633744856), ('rock', 0.02880658436213992), ('hotel_casino', 0.02880658436213992), ('baccarat', 0.024691358024691357), ('train', 0.024691358024691357), ('seminole_hard', 0.024691358024691357), ('bacdoctor', 0.0205761316872428)]"
127,127,"[('austin', 0.04117315284827975), ('awesome', 0.021996615905245348), ('usa', 0.02086858432036097), ('texas', 0.015792442188381276), ('article_read', 0.015228426395939087), ('ugh', 0.01353637901861252), ('laredo', 0.011844331641285956), ('mexican', 0.011844331641285956), ('happy_birthday', 0.011280315848843767), ('tea', 0.01015228426395939)]"
128,128,"[('day', 0.13432002234012846), ('great', 0.13390114493158337), ('bitcoin', 0.09215302987992181), ('price', 0.08168109466629433), ('everyone_current', 0.07791119798938843), ('december', 0.014521083496230103), ('follower', 0.014102206087685004), ('january', 0.01382295448198827), ('march', 0.013404077073443172), ('april', 0.013404077073443172)]"
129,129,"[('democratically', 0.015873015873015872), ('awesomethat', 0.007936507936507936), ('theatrical', 0.007936507936507936), ('tartare', 0.007936507936507936), ('nuskin', 0.007936507936507936), ('trainsand', 0.007936507936507936), ('soylent', 0.007936507936507936), ('peoni', 0.007936507936507936), ('overvaluation', 0.007936507936507936), ('smhwatch', 0.007936507936507936)]"
130,130,"[('movie', 0.06399053938637408), ('season', 0.0264108797056698), ('episode', 0.0176072531371132), ('trailer', 0.013796728204454373), ('character', 0.012876946324157415), ('star_war', 0.011694369620918467), ('favorite', 0.010643190329150516), ('horror', 0.007489652453846659), ('series', 0.006832665396491689), ('film', 0.006438473162078707)]"
131,131,"[('wholewe', 0.011764705882352941), ('videoblog', 0.011764705882352941), ('thotiana', 0.011764705882352941), ('instanatural', 0.011764705882352941), ('foulsad', 0.011764705882352941), ('backrest', 0.011764705882352941), ('waitressing', 0.011764705882352941), ('grrrrrr', 0.011764705882352941), ('wiggin', 0.011764705882352941), ('tahitian', 0.011764705882352941)]"
132,132,"[('republican', 0.0875), ('ted_cruz', 0.033455882352941176), ('cruz', 0.014705882352941176), ('pres_obama', 0.013602941176470588), ('gun', 0.011764705882352941), ('reagan', 0.011397058823529411), ('ted_cruzs', 0.008455882352941176), ('obamacare', 0.007352941176470588), ('tea', 0.006985294117647059), ('regime', 0.00625)]"
133,133,"[('winco', 0.017241379310344827), ('deluca', 0.017241379310344827), ('managram', 0.017241379310344827), ('kindleif', 0.017241379310344827), ('cebolla', 0.017241379310344827), ('bulwerlytton', 0.017241379310344827), ('exfoliate', 0.017241379310344827), ('thyre', 0.017241379310344827), ('crikho', 0.017241379310344827), ('limestone', 0.017241379310344827)]"
134,134,"[('baseball', 0.09501187648456057), ('card', 0.07125890736342043), ('mookie', 0.026128266033254157), ('mlb', 0.026128266033254157), ('benny_benny', 0.021377672209026127), ('mickey_mantle', 0.0166270783847981), ('topp', 0.014251781472684086), ('benny', 0.014251781472684086), ('benintendi', 0.011876484560570071), ('choi', 0.011876484560570071)]"
135,135,"[('spring', 0.028119507908611598), ('stunning', 0.026362038664323375), ('chicago', 0.02460456942003515), ('ahh', 0.01757469244288225), ('package', 0.015817223198594025), ('chanel', 0.014059753954305799), ('suitor', 0.014059753954305799), ('overnight', 0.012302284710017574), ('gentleman', 0.01054481546572935), ('fmty', 0.008787346221441126)]"
136,136,"[('park', 0.027083819752509924), ('evening', 0.01704412794770021), ('waverly_ia', 0.014475834695307027), ('spin', 0.014475834695307027), ('sunset', 0.011440579033387813), ('punk', 0.011207097828624796), ('lake', 0.011207097828624796), ('jersey', 0.010740135419098762), ('vote', 0.01027317300957273), ('waverly', 0.010039691804809714)]"
137,137,"[('zim', 0.015037593984962405), ('dint', 0.015037593984962405), ('drumming', 0.007518796992481203), ('teaming', 0.007518796992481203), ('lloyd', 0.007518796992481203), ('naaaaaaahhhh', 0.007518796992481203), ('bam', 0.007518796992481203), ('designevo', 0.007518796992481203), ('kea', 0.007518796992481203), ('themlet', 0.007518796992481203)]"
138,138,"[('retweet', 0.08122866894197953), ('follower', 0.07508532423208192), ('eligible', 0.05665529010238908), ('tweet', 0.04709897610921502), ('baseball', 0.03754266211604096), ('amz_vision', 0.023208191126279865), ('vinylmation', 0.020477815699658702), ('trade', 0.016382252559726963), ('park', 0.014334470989761093), ('giant', 0.013651877133105802)]"
139,139,"[('people', 0.030346380244365753), ('thing', 0.028235735559672615), ('make', 0.012147932740789381), ('person', 0.009966933233273141), ('word', 0.006707159775802631), ('time', 0.006648530756783378), ('reason', 0.0066368049529795265), ('start', 0.006425740484510213), ('feel', 0.006285030838864004), ('find', 0.005745643863886869)]"
140,140,"[('ill', 0.02055033089515848), ('lmao', 0.01602229188436085), ('call', 0.014629049111807733), ('boy', 0.013235806339254615), ('real', 0.012539184952978056), ('ayy', 0.011494252873563218), ('tonight', 0.01114594218042494), ('tbh', 0.008707767328456984), ('ms', 0.008707767328456984), ('future', 0.008359456635318705)]"
141,141,"[('liar', 0.15510597302504817), ('liar_liar', 0.1396917148362235), ('ughhh', 0.008670520231213872), ('ha_ha', 0.008670520231213872), ('letgo', 0.005780346820809248), ('vendor', 0.005780346820809248), ('revoking', 0.005780346820809248), ('gaslit_nation', 0.005780346820809248), ('detailed', 0.004816955684007707), ('lift', 0.004816955684007707)]"
142,142,"[('video', 0.06116265858738875), ('playlist', 0.03465252793031623), ('add', 0.03446316985419428), ('liked_video', 0.024048475667487218), ('favorited_video', 0.021397462601779965), ('pug', 0.013065707252414316), ('generic_beat', 0.01117212649119485), ('dog', 0.010793410338950956), ('obama', 0.01060405226282901), ('erie_pa', 0.01003597803446317)]"
143,143,"[('canberra', 0.008620689655172414), ('portlight', 0.008620689655172414), ('homefront', 0.008620689655172414), ('luminary', 0.008620689655172414), ('godaily', 0.008620689655172414), ('vax', 0.008620689655172414), ('boink', 0.008620689655172414), ('sleeping', 0.008620689655172414), ('tholike', 0.008620689655172414), ('aggronite', 0.008620689655172414)]"
144,144,"[('love', 0.05813202107565364), ('girl', 0.022616562282533056), ('omg', 0.017795009444278757), ('miss', 0.012277562381946515), ('cry', 0.012252709016800875), ('good', 0.011855055174470623), ('bc', 0.011357987871557809), ('cute', 0.010761507108062432), ('wanna', 0.010338999900586539), ('happy', 0.009270305199323989)]"
145,145,"[('cobra', 0.013605442176870748), ('homemade', 0.006802721088435374), ('demipointesto', 0.006802721088435374), ('bichsel', 0.006802721088435374), ('whiff', 0.006802721088435374), ('tooplease', 0.006802721088435374), ('wisdomemerg', 0.006802721088435374), ('oem', 0.006802721088435374), ('writersome', 0.006802721088435374), ('overcrowded', 0.006802721088435374)]"
146,146,"[('reconciliation', 0.0196078431372549), ('horizontal', 0.0196078431372549), ('wilmington', 0.0196078431372549), ('marrrr', 0.00980392156862745), ('legitimacy', 0.00980392156862745), ('gipsy', 0.00980392156862745), ('devolved', 0.00980392156862745), ('wider', 0.00980392156862745), ('jerimiah', 0.00980392156862745), ('nazihunting', 0.00980392156862745)]"
147,147,"[('follow', 0.0665907797381901), ('people', 0.048377916903813316), ('tweet', 0.037564029595902104), ('popular_link', 0.035856573705179286), ('link', 0.03187250996015936), ('miss', 0.01935116676152533), ('todays_hott', 0.017643710870802503), ('article', 0.015367103016505406), ('la', 0.014797951052931132), ('para', 0.012521343198634035)]"
148,148,"[('backside', 0.022727272727272728), ('blogged', 0.011363636363636364), ('pleat', 0.011363636363636364), ('obstaclewhen', 0.011363636363636364), ('theorie', 0.011363636363636364), ('resonate', 0.011363636363636364), ('gothankfully', 0.011363636363636364), ('nationbut', 0.011363636363636364), ('obnox', 0.011363636363636364), ('untameable', 0.011363636363636364)]"
149,149,"[('utah', 0.10543130990415335), ('tennessee', 0.03194888178913738), ('outdoor', 0.01597444089456869), ('knock', 0.01597444089456869), ('blackburn', 0.01597444089456869), ('mormon', 0.012779552715654952), ('landline', 0.012779552715654952), ('marsha', 0.012779552715654952), ('bredesen', 0.012779552715654952), ('advertising', 0.012779552715654952)]"
150,150,"[('bus', 0.03078817733990148), ('pittsburgh', 0.020935960591133004), ('pedestrian', 0.020935960591133004), ('http', 0.020114942528735632), ('bike', 0.019704433497536946), ('car', 0.015599343185550082), ('driver', 0.012315270935960592), ('parking', 0.012315270935960592), ('sidewalk', 0.011494252873563218), ('datum', 0.011083743842364532)]"
151,151,"[('free', 0.061083232393147606), ('coupon', 0.06091019207475342), ('walgreen', 0.030109015400588336), ('walmart', 0.027686450943069735), ('recall', 0.02111091884409067), ('due', 0.018169233431389514), ('deal', 0.013151064197958124), ('southern_saver', 0.011939781969198824), ('lady', 0.008652015919709292), ('sample', 0.008478975601315107)]"
152,152,"[('hockey', 0.03345498783454988), ('goal', 0.03254257907542579), ('cane', 0.02068126520681265), ('fuck', 0.017944038929440388), ('score', 0.01338199513381995), ('nhl', 0.012165450121654502), ('playoff', 0.010644768856447688), ('staal', 0.010644768856447688), ('fallout', 0.010340632603406326), ('eric_staal', 0.010036496350364963)]"
153,153,"[('superg', 0.015625), ('shoreline', 0.015625), ('fckn', 0.0078125), ('euth', 0.0078125), ('shiv', 0.0078125), ('baking', 0.0078125), ('breakdidnt', 0.0078125), ('allare', 0.0078125), ('amwatch', 0.0078125), ('begonia', 0.0078125)]"
154,154,"[('trenton', 0.03636363636363636), ('happysometime', 0.01818181818181818), ('riskreward', 0.01818181818181818), ('brrrrahh', 0.01818181818181818), ('sankt', 0.01818181818181818), ('fook', 0.01818181818181818), ('jpop', 0.01818181818181818), ('executive_branch', 0.01818181818181818), ('chikin', 0.01818181818181818), ('weaaaaaaaakkkkk', 0.01818181818181818)]"
155,155,"[('flair', 0.021739130434782608), ('recalcitrant', 0.010869565217391304), ('khashogg', 0.010869565217391304), ('mist', 0.010869565217391304), ('locateda', 0.010869565217391304), ('daylighton', 0.010869565217391304), ('tgbronhate', 0.010869565217391304), ('yetmichelle', 0.010869565217391304), ('detect', 0.010869565217391304), ('viewslook', 0.010869565217391304)]"
156,156,"[('show', 0.03212290502793296), ('steven', 0.015921787709497207), ('episode', 0.01564245810055866), ('season', 0.015363128491620111), ('part', 0.011452513966480447), ('kinda', 0.010893854748603353), ('steven_universe', 0.009497206703910615), ('moment', 0.009217877094972068), ('connie', 0.008659217877094972), ('doctor', 0.007262569832402235)]"
157,157,"[('wizard', 0.030548068283917342), ('awesome', 0.029649595687331536), ('dd', 0.028751123090745734), ('rule', 0.02425876010781671), ('fighter', 0.0215633423180593), ('gtgt', 0.020664869721473494), ('balance', 0.01078167115902965), ('ltlt', 0.008984725965858042), ('math', 0.008984725965858042), ('class', 0.008086253369272238)]"
158,158,"[('premiere', 0.02247191011235955), ('addicted', 0.02247191011235955), ('pharmaceutical', 0.02247191011235955), ('born', 0.011235955056179775), ('drast', 0.011235955056179775), ('videoweeee', 0.011235955056179775), ('theory', 0.011235955056179775), ('shutdown', 0.011235955056179775), ('biffcan', 0.011235955056179775), ('expe', 0.011235955056179775)]"
159,159,"[('win', 0.17425077841203945), ('enter', 0.11314543331603528), ('chance', 0.07831149455111572), ('follow', 0.05145627919045148), ('giveaway', 0.03905033731188376), ('day', 0.012324857291126102), ('free', 0.012178905033731188), ('giving_away', 0.01159509600415153), ('prize', 0.009616632070576024), ('card', 0.009162558380902958)]"
160,160,"[('book', 0.038397637068488095), ('write', 0.019198818534244048), ('singing_woman', 0.018460402436773122), ('sacred_feminine', 0.017168174266199), ('read', 0.016060550119992616), ('voice', 0.015506738046889422), ('writer', 0.011814657559534798), ('beauty', 0.009599409267122024), ('spiritual', 0.00904559719401883), ('night', 0.008860993169651098)]"
161,161,"[('sixfigure', 0.025974025974025976), ('shaft', 0.012987012987012988), ('tkocy', 0.012987012987012988), ('contextsh', 0.012987012987012988), ('riffraff', 0.012987012987012988), ('beasssst', 0.012987012987012988), ('potato_chip', 0.012987012987012988), ('kingsbury', 0.012987012987012988), ('tkj', 0.012987012987012988), ('knob', 0.012987012987012988)]"
162,162,"[('retard', 0.03296703296703297), ('horse', 0.02857142857142857), ('douche_bag', 0.02857142857142857), ('howard', 0.01978021978021978), ('faggot', 0.017582417582417582), ('piece', 0.015384615384615385), ('beth', 0.015384615384615385), ('hillary', 0.015384615384615385), ('bimbo', 0.013186813186813187), ('scum', 0.01098901098901099)]"
163,163,"[('alfie', 0.0875), ('pray', 0.075), ('evan', 0.029166666666666667), ('choc', 0.029166666666666667), ('walt_disney', 0.020833333333333332), ('orlando', 0.016666666666666666), ('unborn', 0.0125), ('abort', 0.0125), ('yeari', 0.008333333333333333), ('eyeball', 0.008333333333333333)]"
164,164,"[('consumer_protection', 0.057692307692307696), ('raise_fund', 0.028846153846153848), ('momme', 0.019230769230769232), ('tht', 0.019230769230769232), ('cookware', 0.019230769230769232), ('invisibleand', 0.009615384615384616), ('commodore', 0.009615384615384616), ('icing', 0.009615384615384616), ('disappearedok', 0.009615384615384616), ('bundle', 0.009615384615384616)]"
165,165,"[('gun', 0.03430394894295971), ('kid', 0.020741922616673316), ('constituent', 0.020343039489429598), ('gun_violence', 0.017949740725967292), ('usa', 0.017949740725967292), ('gun_control', 0.016354208216992423), ('school', 0.014758675708017551), ('office', 0.014758675708017551), ('massacre', 0.014359792580773833), ('condemn', 0.01316314319904268)]"
